time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
113.000029;0.00732018;0;0.00188654;1.909;0;6
113.500046;0.00526974;0;-0.0465813;1.909;0;6
114.000047;-0.0110246;0;-0.0292705;1.909;0;6
114.500000;0.0296922;0;-0.0909619;1.909;0;6
115.000016;-0.00286632;0;-0.0168469;1.909;0;6
115.500019;0.0138709;0;-0.0533879;1.909;0;6
116.000006;-0.0081474;0;-0.0310833;1.909;0;6
116.500039;0.002925;0;-0.0250386;1.909;0;6
117.000015;-0.00961037;0;-0.0101743;1.909;0;6
117.500047;-0.00571582;0;0.00111509;1.909;0;6
118.000007;-0.0401443;0;-0.0140697;1.909;0;6
118.500014;0.00335701;0;-0.038435;1.909;0;6
119.000023;0.00892226;0;-0.0398645;1.909;0;6
119.500029;0.0109936;0;0.000793775;1.909;0;6
